12	9	36	0	2	0	1	0	171	1	0	0	4
24	5	0	0	42	1	0.26	0.1	44	0.17	0.05	1	0
47	5	0	0	284	1	0.07	0.06	20	0.08	0.06	1	0
49	1	0	0	110	0	0.07	0.06	27	0.11	0.07	0	0
49	4	0	0	1	0	1	0	1	0.01	0.64	0.04	1
24	9	325	4673	20	0	1	0	255	1	0	0	4
49	5	0	0	133	1	0.1	0.07	33	0.13	0.06	1	0
49	1	0	0	101	0	0.17	0.08	17	0.07	0.07	0	0
20	9	334	0	2	0	1	0	39	1	0	0	2
20	9	5133876	0	1	0	1	0	31	1	0	0	2
20	9	334	0	1	0	1	0	17	1	0	0	2
20	9	0	5928	2	0	1	0	82	1	0	0	3
20	9	0	5928	2	0	1	0	82	1	0	0	3
19	9	226	698	1	0	1	0	1	1	0	0	3
